Diagrama de Carga
CPE;PT0002000000000EXEMPLO
Nome;CasaSolar exemplo
Intervalo;15 min
Unidade;kW


Data;Hora;Consumo registado (kW)
2025/01/01;00:00;0,312
2025/01/01;00:15;0,316
2025/01/01;00:30;0,320
2025/01/01;00:45;0,324
2025/01/01;01:00;0,284
2025/01/01;01:15;0,287
2025/01/01;01:30;0,291
2025/01/01;01:45;0,294
2025/01/01;02:00;0,273
2025/01/01;02:15;0,276
2025/01/01;02:30;0,279
2025/01/01;02:45;0,241
2025/01/01;03:00;0,231
2025/01/01;03:15;0,234
2025/01/01;03:30;0,237
2025/01/01;03:45;0,241
2025/01/01;04:00;0,231
2025/01/01;04:15;0,234
2025/01/01;04:30;0,237
2025/01/01;04:45;0,240
2025/01/01;05:00;0,270
2025/01/01;05:15;0,273
2025/01/01;05:30;0,277
2025/01/01;05:45;0,280
2025/01/01;06:00;0,467
2025/01/01;06:15;0,473
2025/01/01;06:30;0,478
2025/01/01;06:45;0,484
2025/01/01;07:00;0,752
2025/01/01;07:15;0,647
2025/01/01;07:30;0,656
2025/01/01;07:45;0,665
2025/01/01;08:00;0,522
2025/01/01;08:15;0,529
2025/01/01;08:30;0,536
2025/01/01;08:45;0,543
2025/01/01;09:00;0,415
2025/01/01;09:15;0,420
2025/01/01;09:30;0,425
2025/01/01;09:45;0,430
2025/01/01;10:00;0,389
2025/01/01;10:15;0,394
2025/01/01;10:30;0,399
2025/01/01;10:45;0,404
2025/01/01;11:00;0,425
2025/01/01;11:15;0,430
2025/01/01;11:30;0,370
2025/01/01;11:45;0,375
2025/01/01;12:00;0,450
2025/01/01;12:15;0,456
2025/01/01;12:30;0,462
2025/01/01;12:45;0,468
2025/01/01;13:00;0,439
2025/01/01;13:15;0,444
2025/01/01;13:30;0,450
2025/01/01;13:45;0,456
2025/01/01;14:00;0,405
2025/01/01;14:15;0,410
2025/01/01;14:30;0,415
2025/01/01;14:45;0,420
2025/01/01;15:00;0,441
2025/01/01;15:15;0,446
2025/01/01;15:30;0,451
2025/01/01;15:45;0,389
2025/01/01;16:00;0,536
2025/01/01;16:15;0,544
2025/01/01;16:30;0,551
2025/01/01;16:45;0,558
2025/01/01;17:00;0,914
2025/01/01;17:15;0,926
2025/01/01;17:30;0,938
2025/01/01;17:45;0,950
2025/01/01;18:00;1,150
2025/01/01;18:15;1,164
2025/01/01;18:30;1,179
2025/01/01;18:45;1,193
2025/01/01;19:00;1,089
2025/01/01;19:15;1,103
2025/01/01;19:30;1,116
2025/01/01;19:45;1,129
2025/01/01;20:00;0,860
2025/01/01;20:15;0,740
2025/01/01;20:30;0,750
2025/01/01;20:45;0,760
2025/01/01;21:00;0,589
2025/01/01;21:15;0,597
2025/01/01;21:30;0,605
2025/01/01;21:45;0,612
2025/01/01;22:00;0,474
2025/01/01;22:15;0,480
2025/01/01;22:30;0,486
2025/01/01;22:45;0,492
2025/01/01;23:00;0,389
2025/01/01;23:15;0,394
2025/01/01;23:30;0,399
2025/01/01;23:45;0,404
2025/01/02;00:00;0,328
2025/01/02;00:15;0,332
2025/01/02;00:30;0,336
2025/01/02;00:45;0,340
2025/01/02;01:00;0,298
2025/01/02;01:15;0,301
2025/01/02;01:30;0,259
2025/01/02;01:45;0,263
2025/01/02;02:00;0,244
2025/01/02;02:15;0,247
2025/01/02;02:30;0,250
2025/01/02;02:45;0,254
2025/01/02;03:00;0,244
2025/01/02;03:15;0,247
2025/01/02;03:30;0,250
2025/01/02;03:45;0,253
2025/01/02;04:00;0,243
2025/01/02;04:15;0,246
2025/01/02;04:30;0,249
2025/01/02;04:45;0,252
2025/01/02;05:00;0,284
2025/01/02;05:15;0,287
2025/01/02;05:30;0,290
2025/01/02;05:45;0,250
2025/01/02;06:00;0,416
2025/01/02;06:15;0,422
2025/01/02;06:30;0,427
2025/01/02;06:45;0,433
2025/01/02;07:00;0,674
2025/01/02;07:15;0,682
2025/01/02;07:30;0,691
2025/01/02;07:45;0,700
2025/01/02;08:00;0,550
2025/01/02;08:15;0,557
2025/01/02;08:30;0,564
2025/01/02;08:45;0,571
2025/01/02;09:00;0,436
2025/01/02;09:15;0,441
2025/01/02;09:30;0,446
2025/01/02;09:45;0,451
2025/01/02;10:00;0,408
2025/01/02;10:15;0,352
2025/01/02;10:30;0,356
2025/01/02;10:45;0,361
2025/01/02;11:00;0,380
2025/01/02;11:15;0,385
2025/01/02;11:30;0,390
2025/01/02;11:45;0,395
2025/01/02;12:00;0,474
2025/01/02;12:15;0,480
2025/01/02;12:30;0,486
2025/01/02;12:45;0,492
2025/01/02;13:00;0,461
2025/01/02;13:15;0,467
2025/01/02;13:30;0,473
2025/01/02;13:45;0,478
2025/01/02;14:00;0,425
2025/01/02;14:15;0,430
2025/01/02;14:30;0,370
2025/01/02;14:45;0,375
2025/01/02;15:00;0,394
2025/01/02;15:15;0,399
2025/01/02;15:30;0,404
2025/01/02;15:45;0,409
2025/01/02;16:00;0,566
2025/01/02;16:15;0,573
2025/01/02;16:30;0,580
2025/01/02;16:45;0,587
2025/01/02;17:00;0,962
2025/01/02;17:15;0,974
2025/01/02;17:30;0,986
2025/01/02;17:45;0,997
2025/01/02;18:00;1,208
2025/01/02;18:15;1,222
2025/01/02;18:30;1,236
2025/01/02;18:45;1,064
2025/01/02;19:00;0,971
2025/01/02;19:15;0,984
2025/01/02;19:30;0,997
2025/01/02;19:45;1,011
2025/01/02;20:00;0,770
2025/01/02;20:15;0,780
2025/01/02;20:30;0,790
2025/01/02;20:45;0,800
2025/01/02;21:00;0,620
2025/01/02;21:15;0,628
2025/01/02;21:30;0,635
2025/01/02;21:45;0,643
2025/01/02;22:00;0,498
2025/01/02;22:15;0,504
2025/01/02;22:30;0,510
2025/01/02;22:45;0,516
2025/01/02;23:00;0,408
2025/01/02;23:15;0,352
2025/01/02;23:30;0,356
2025/01/02;23:45;0,361
2025/01/03;00:00;0,344
2025/01/03;00:15;0,296
2025/01/03;00:30;0,300
2025/01/03;00:45;0,304
2025/01/03;01:00;0,266
2025/01/03;01:15;0,270
2025/01/03;01:30;0,273
2025/01/03;01:45;0,277
2025/01/03;02:00;0,257
2025/01/03;02:15;0,260
2025/01/03;02:30;0,263
2025/01/03;02:45;0,266
2025/01/03;03:00;0,256
2025/01/03;03:15;0,259
2025/01/03;03:30;0,263
2025/01/03;03:45;0,266
2025/01/03;04:00;0,255
2025/01/03;04:15;0,258
2025/01/03;04:30;0,222
2025/01/03;04:45;0,225
2025/01/03;05:00;0,253
2025/01/03;05:15;0,257
2025/01/03;05:30;0,260
2025/01/03;05:45;0,263
2025/01/03;06:00;0,439
2025/01/03;06:15;0,444
2025/01/03;06:30;0,450
2025/01/03;06:45;0,456
2025/01/03;07:00;0,709
2025/01/03;07:15;0,717
2025/01/03;07:30;0,726
2025/01/03;07:45;0,735
2025/01/03;08:00;0,578
2025/01/03;08:15;0,584
2025/01/03;08:30;0,591
2025/01/03;08:45;0,509
2025/01/03;09:00;0,389
2025/01/03;09:15;0,394
2025/01/03;09:30;0,399
2025/01/03;09:45;0,404
2025/01/03;10:00;0,366
2025/01/03;10:15;0,370
2025/01/03;10:30;0,375
2025/01/03;10:45;0,380
2025/01/03;11:00;0,400
2025/01/03;11:15;0,405
2025/01/03;11:30;0,410
2025/01/03;11:45;0,415
2025/01/03;12:00;0,498
2025/01/03;12:15;0,504
2025/01/03;12:30;0,510
2025/01/03;12:45;0,516
2025/01/03;13:00;0,484
2025/01/03;13:15;0,416
2025/01/03;13:30;0,422
2025/01/03;13:45;0,427
2025/01/03;14:00;0,380
2025/01/03;14:15;0,385
2025/01/03;14:30;0,390
2025/01/03;14:45;0,395
2025/01/03;15:00;0,415
2025/01/03;15:15;0,420
2025/01/03;15:30;0,425
2025/01/03;15:45;0,430
2025/01/03;16:00;0,594
2025/01/03;16:15;0,602
2025/01/03;16:30;0,609
2025/01/03;16:45;0,616
2025/01/03;17:00;1,009
2025/01/03;17:15;1,021
2025/01/03;17:30;0,879
2025/01/03;17:45;0,891
2025/01/03;18:00;1,078
2025/01/03;18:15;1,092
2025/01/03;18:30;1,107
2025/01/03;18:45;1,121
2025/01/03;19:00;1,024
2025/01/03;19:15;1,037
2025/01/03;19:30;1,050
2025/01/03;19:45;1,063
2025/01/03;20:00;0,810
2025/01/03;20:15;0,820
2025/01/03;20:30;0,830
2025/01/03;20:45;0,840
2025/01/03;21:00;0,651
2025/01/03;21:15;0,659
2025/01/03;21:30;0,666
2025/01/03;21:45;0,574
